,curso_academico,cod_universidad,des_universidad,cod_centro,des_centro,cod_municipio,des_municipio,cod_campus,des_campus,cod_tipo_centro,des_tipo_centro,cod_naturaleza_centro,des_naturaleza_centro,cod_situacion_centro,des_situacion_centro,fecha_desde_situacion_centro,latitud,longitud
0,2020-21,025,Universidad Politécnica de Madrid,28053654 ,Centro de Investigación en Biotecnología y Genómica de Plantas (CBGP),115,Pozuelo de Alarcón, ,Campus de Montegancedo,C1,Centro Propio,1,Público,1,Activo, ,40.4346528,-3.814834
1,2020-21,025,Universidad Politécnica de Madrid,28053836 ,Centro Superior de Diseño de Moda de Madrid,79,Madrid, ,Campus Sur,C2,Centro Adscrito,2,Privado,1,Activo, ,40.4167047,-3.7035825
2,2020-21,025,Universidad Politécnica de Madrid,28053940 ,Escuela Internacional de Doctorado de la Universidad Politécnica de Madrid,79,Madrid, ,Avenida Ramiro de Maeztu,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
3,2020-21,025,Universidad Politécnica de Madrid,28048300 ,Escuela Politécnica de Enseñanza Superior,79,Madrid, ,Campus Ciudad Universitaria,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
4,2020-21,025,Universidad Politécnica de Madrid,28026870 ,Escuela Técnica Superior de Arquitectura,79,Madrid, ,Campus Ciudad Universitaria,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
5,2020-21,025,Universidad Politécnica de Madrid,28026729 ,Escuela Técnica Superior de Edificación,79,Madrid, ,Campus Ciudad Universitaria,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
6,2020-21,025,Universidad Politécnica de Madrid,28051761 ,Escuela Técnica Superior de Ingeniería Aeronáutica y del Espacio,79,Madrid, ,Campus Ciudad Universitaria,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
7,2020-21,025,Universidad Politécnica de Madrid,28053885 ,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",79,Madrid, ,Campus Ciudad Universitaria,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
8,2020-21,025,Universidad Politécnica de Madrid,28026791 ,Escuela Técnica Superior de Ingeniería Civil,79,Madrid, ,Calle Alfonso XII,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
9,2020-21,025,Universidad Politécnica de Madrid,28051876 ,"Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural",79,Madrid, ,Campus Ciudad Universitaria,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
10,2020-21,025,Universidad Politécnica de Madrid,28031750 ,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,79,Madrid, ,Campus de Vallecas,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
11,2020-21,025,Universidad Politécnica de Madrid,28026778 ,Escuela Técnica Superior de Ingeniería y Diseño Industrial,79,Madrid, ,Ronda de Valencia,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
12,2020-21,025,Universidad Politécnica de Madrid,28026808 ,Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación,79,Madrid, ,C/ Nikola Tesla s/n,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
13,2020-21,025,Universidad Politécnica de Madrid,28026900 ,"Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos",79,Madrid, ,Campus Ciudad Universitaria,C1,Centro Propio,1,Público,1,Activo, ,40.4167047,-3.7035825
