,curso_academico,codigo_universidad,nombre_universidad,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_campus,descripcion_campus,codigo_situacion_departamento,descripcion_situacion_departamento,fecha_desde_situacion_departamento
0,202021,025,Universidad Politécnica de Madrid,xx,COMPOSICIÓN ARQUITECTÓNICA,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
1,202021,025,Universidad Politécnica de Madrid,xx,CONSTRUCCIÓN Y TECNOLOGÍA ARQUITECTÓNICAS,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
2,202021,025,Universidad Politécnica de Madrid,xx,ESTRUCTURAS Y FÍSICA DE EDIFICACIÓN,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
3,202021,025,Universidad Politécnica de Madrid,xx,IDEACIÓN GRÁFICA ARQUITECTÓNICA,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
4,202021,025,Universidad Politécnica de Madrid,xx,SECCIÓN DEPARTAMENTAL DE LINGÜÍSTICA APLICADA A LA CIENCIA Y A LA TECNOLOGÍA,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
5,202021,025,Universidad Politécnica de Madrid,xx,MATEMÁTICA APLICADA,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
6,202021,025,Universidad Politécnica de Madrid,xx,PROYECTOS ARQUITECTÓNICOS,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
7,202021,025,Universidad Politécnica de Madrid,xx,URBANÍSTICA Y ORDENACIÓN DEL TERRITORIO,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
8,202021,025,Universidad Politécnica de Madrid,xx,CONSTRUCCIONES ARQUITECTÓNICAS Y SU CONTROL,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
9,202021,025,Universidad Politécnica de Madrid,xx,TECNOLOGÍA DE LA EDIFICACIÓN,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
10,202021,025,Universidad Politécnica de Madrid,xx,AERONAVES Y VEHÍCULOS ESPACIALES (DAVE),xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
11,202021,025,Universidad Politécnica de Madrid,xx,FÍSICA APLICADA A LAS INGENIERÍAS AERONÁUTICA Y NAVAL (FAIAN),xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
12,202021,025,Universidad Politécnica de Madrid,xx,"UNIDAD DOCENTE DE INGENIERÍA DE ORGANIZACIÓN, ADMINISTRACIÓN DE EMPRESAS Y ESTADÍSTICA (INGOR)",xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
13,202021,025,Universidad Politécnica de Madrid,xx,SECCIÓN DEPARTAMENTAL DE LINGÜÍSTICA APLICADA A LA CIENCIA Y A LA TECNOLOGÍA,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
14,202021,025,Universidad Politécnica de Madrid,xx,MATEMÁTICA APLICADA A LA INGENIERÍA AEROESPACIAL (DMAIA),xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
15,202021,025,Universidad Politécnica de Madrid,xx,MATERIALES Y PRODUCCIÓN AEROESPACIAL (DMPA),xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
16,202021,025,Universidad Politécnica de Madrid,xx,MECÁNICA DE FLUIDOS Y PROPULSIÓN AEROESPACIAL (MFPA),xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
17,202021,025,Universidad Politécnica de Madrid,xx,"SISTEMAS AEROESPACIALES, TRANSPORTE AÉREO Y AEROPUERTOS (SATAA)",xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
18,202021,025,Universidad Politécnica de Madrid,xx,BIOTECNOLOGÍA - BIOLOGÍA VEGETAL,xx,xx,xx,Campus Ciudad Universitaria,xx,xx,xx
