,codigo_universidad,nombre_universidad,anio,cod_capitulo,des_capitulo,cod_articulo,des_articulo,cod_concepto,des_concepto,cod_subconcepto,des_subconcepto,cod_partida,des_partida,cod_seccion,des_seccion,cod_servicio,des_servicio,cod_unidad_de_coste,des_unidad_de_coste,cod_organica_libre_1,des_organica_libre_1,cod_organica_libre_2,des_organica_libre_2,fecha_referencia,credito_inicial,modificaciones,credito_total,derechos_reconocidos_netos,recaudacion_neta
0,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-32,Otros ingresos por prestación de servicios,UPM-329,Otros ingresos procedentes prestaciones de ser...,UPM-329.00,Cánones art. 83 LOU,None,None,UPM-3,ETS de Arquitectura,None,None,None,None,None,None,None,None,20210620,"160.000,00",None,None,None,None
1,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-32,Otros ingresos por prestación de servicios,UPM-329,Otros ingresos procedentes prestaciones de ser...,UPM-329.05,Prestación de servicios en Centros,None,None,UPM-3,ETS de Arquitectura,None,None,None,None,None,None,None,None,20210620,"55.465,00",None,None,None,None
2,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-32,Otros ingresos por prestación de servicios,UPM-329,Otros ingresos procedentes prestaciones de ser...,UPM-329.99,Otros ingresos derivados de prestación de servicios,None,None,UPM-3,ETS de Arquitectura,None,None,None,None,None,None,None,None,20210620,"20.000,00",None,None,None,None
3,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-39,Otros ingresos,UPM-391,Ingresos por indemnizaciones,UPM-391.00,Indemnizaciones de seguros,None,None,UPM-3,ETS de Arquitectura,None,None,None,None,None,None,None,None,20210620,"6.005,00",None,None,None,None
4,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-32,Otros ingresos por prestación de servicios,UPM-329,Otros ingresos procedentes prestaciones de ser...,UPM-329.00,Cánones art. 83 LOU,None,None,UPM-03,ETS de Arquitectura,UPM-03.X5,Matemática Aplicada,None,None,None,None,None,None,20210620,0,None,None,None,None
5,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-32,Otros ingresos por prestación de servicios,UPM-329,Otros ingresos procedentes prestaciones de ser...,UPM-329.00,Cánones art. 83 LOU,None,None,UPM-03,ETS de Arquitectura,UPM-03.X6,Proyectos Arquitectónicos,None,None,None,None,None,None,20210620,"7.000,00",None,None,None,None
6,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-32,Otros ingresos por prestación de servicios,UPM-329,Otros ingresos procedentes prestaciones de ser...,UPM-329.00,Cánones art. 83 LOU,None,None,UPM-4,"ETSI de Caminos, Canales y Puertos",None,None,None,None,None,None,None,None,20210620,"200.000,00",None,None,None,None
7,UPM,Universidad Politecnica de Madrid,2021,UPM-3,"Capítulo 3 TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",UPM-32,Otros ingresos por prestación de servicios,UPM-329,Otros ingresos procedentes prestaciones de ser...,UPM-329.05,Prestación de servicios en Centros,None,None,UPM-4,"ETSI de Caminos, Canales y Puertos",None,None,None,None,None,None,None,None,20210620,"50.000,00",None,None,None,None
8,UPM,Universidad Politecnica de Madrid,2021,UPM-5,Capítulo 5 INGRESOS PATRIMONIALES,UPM-55,Productos de concesiones y aprov. Especiales,UPM-550,Producto de concesiones administrativas,UPM-550.00,Cesiones de locales,None,None,UPM-4,"ETSI de Caminos, Canales y Puertos",None,None,None,None,None,None,None,None,20210620,"130.000,00",None,None,None,None
9,UPM,Universidad Politecnica de Madrid,2021,UPM-5,Capítulo 5 INGRESOS PATRIMONIALES,UPM-55,Productos de concesiones y aprov. Especiales,UPM-550,Producto de concesiones administrativas,UPM-550.02,Cesiones de taquillas y azoteas y otras concesiones,None,None,UPM-4,"ETSI de Caminos, Canales y Puertos",None,None,None,None,None,None,None,None,20210620,"125.000,00",None,None,None,None
10,UPM,Universidad Politecnica de Madrid,2021,UPM-5,Capítulo 5 INGRESOS PATRIMONIALES,UPM-52,Intereses de depósitos,UPM-520,Intereses de cuentas bancarias,UPM-520.00,Intereses de cuentas corrientes,None,None,UPM-04,ETS de Arquitectura,UPM-04LG,"Legados - ETSI Caminos, Canales y Puertos",None,None,None,None,None,None,20210620,"3.000,00",None,None,None,None
11,UPM,Universidad Politecnica de Madrid,2021,UPM-5,Capítulo 5 INGRESOS PATRIMONIALES,UPM-53,Dividendos  y participación en beneficios,UPM-530,Dividendos procedentes de diversos legados,None,None,None,None,UPM-04,ETS de Arquitectura,UPM-04LG,"Legados - ETSI Caminos, Canales y Puertos",None,None,None,None,None,None,20210620,"3.000,00",None,None,None,None
