,curso_academico,codigo_universidad,nombre_universidad,codigo_tipo_estudio,nombre_tipo_estudio,codigo_tipo_unidad_responsable,nombre_tipo_unidad_responsable,codigo_unidad_responsable,nombre_unidad_responsable,codigo_titulacion,nombre_titulacion,codigo_rama,descripcion_rama,codigo_interuniversitario,descripcion_interuniversitario,codigo_rol_coordinacion,descripcion_rol_coordinacion,codigo_impartido,descripcion_impartido,anio_inicio,codigo_situacion_actual,descripcion_situacion_actual,codigo_presencialidad,descripcion_grado_presencialidad,codigo_idioma_extranjero,descripcion_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,numero_creditos_ofertados
0,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28048300 ,Escuela Politécnica de Enseñanza Superior,2503225 ,Graduado o Graduada en Administración y Dirección de Empresas por la Universidad Politécnica de Madrid  ,3,Ciencias Sociales y Jurídicas,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2015,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
1,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026948 ,Escuela Técnica Superior de Ingenieros Navales,2501481 ,Graduado o Graduada en Arquitectura Naval por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2020,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
2,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28053885 ,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",2502648 ,Graduado o Graduada en Biotecnología por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2019,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
3,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28031750 ,Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,2503943 ,Graduado o Graduada en Ciencia de Datos e Inteligencia Artificial por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,1,"Si es interuniversitario, con alguna Universidad española",1,Si es coordinadora,1,Se imparte en el curso academico de referencia,2020,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
4,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28053885 ,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",2503468 ,Graduado o Graduada en Ciencias Agrarias y Bioeconomía por la Universidad Politécnica de Madrid  ,2,Ciencias,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2017,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
5,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28039207 ,Facultad de Ciencias de la Actividad Física y del Deporte (INEF),2500734 ,Graduado o Graduada en Ciencias de la Actividad Física y del Deporte por la Universidad Politécnica de Madrid  ,3,Ciencias Sociales y Jurídicas,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
6,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28053836 ,Centro Superior de Diseño de Moda de Madrid,2503020 ,Graduado o Graduada en Diseño de Moda por la Universidad Politécnica de Madrid  ,1,Artes y Humanidades,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2014,1,Activo,1,Estudio presencial,0,No, , , , , , ,240, 
7,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026729 ,Escuela Técnica Superior de Edificación,2500800 ,Graduado o Graduada en Edificación por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2009,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
8,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28026870 ,Escuela Técnica Superior de Arquitectura,2502137 ,Graduado o Graduada en Fundamentos de la Arquitectura por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,8888,1,Activo, , ,None,None, , , , , , ,300, 
9,2020-21,025,Universidad Politécnica de Madrid,G,Grado,1,Centro,28051761 ,Escuela Técnica Superior de Ingeniería Aeronáutica y del Espacio,2503799 ,Graduado o Graduada en Gestión y Operaciones del Transporte Aéreo por la Universidad Politécnica de Madrid  ,4,Ingeniería y Arquitectura,0,No es interuniversitario,8,No aplica coordinacion,1,Se imparte en el curso academico de referencia,2018,1,Activo,1,Estudio presencial,2,"Existen planes separados, uno de ellos en ingles", , , , , , ,240, 
